car_company,car_model,registered_yr,Kms_driven,owner_type,body_type,seats,transmission_type,fuel_type,engine_capacity_in_cc,mileage_in_kmpl,max_power_in_bhp,insurance,city,resale_price_in_Lakh_Rupees
Honda,Honda Jazz ZX,2021,24774,First Owner,Hatchback,5,Manual,Petrol,1199,17,88,Comprehensive,Chennai,8.65
Volkswagen,Volkswagen Polo 1.2 MPI Highline,2017,40480,First Owner,Hatchback,5,Manual,Petrol,1199,16,74,Third Party insurance,Chennai,6.25
Volkswagen,Volkswagen Polo 1.0 TSI Highline Plus AT,2021,10967,First Owner,Hatchback,5,Automatic,Petrol,999,16,108,Without Insuarance,Pune,9.5
Honda,Honda City V MT,2021,5590,First Owner,Sedan,5,Manual,Petrol,1498,18,119,Comprehensive,Pune,11.9
Honda,Honda Amaze E i-Vtech,2015,16500,First Owner,Sedan,5,Manual,Petrol,1198,18,86,Comprehensive,Pune,4.65
Toyota,Toyota Hyryder V HYBRID BSVI,2022,10000,First Owner,SUV,5,Automatic,Petrol,1490,27,91,Comprehensive,Pune,21.5
Maruti,Maruti Swift ZXI Plus AMT,2019,89899,First Owner,Hatchback,5,Automatic,Petrol,1197,22,88,Third Party insurance,Hyderabad,6.84
Toyota,Toyota Fortuner 4x2 Manual,2012,122000,Second Owner,SUV,7,Manual,Diesel,2982,13,168,Third Party insurance,Hyderabad,15
Hyundai,Hyundai Santro Xing XG,2004,131561,Fifth Owner,Hatchback,5,Manual,Petrol,1086,17,95,Without Insuarance,Hyderabad,8.71
Hyundai,Hyundai Grand i10 1.2 Kappa Asta,2019,18500,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Hyderabad,6.8
Maruti,Maruti Baleno 1.2 Delta,2019,53360,First Owner,Hatchback,5,Manual,Petrol,1197,21,83,Zero Dep,Gurgaon,5.57
Honda,Honda WR-V i-DTEC VX,2017,59266,First Owner,SUV,5,Manual,Diesel,1498,25,98,Comprehensive,Gurgaon,7.28
Hyundai,Hyundai i20 Asta Option 1.4 CRDi,2018,33437,First Owner,Hatchback,5,Manual,Diesel,1396,22,88,Without Insuarance,Gurgaon,4.9
Hyundai,Hyundai i10 Era,2008,100596,First Owner,Hatchback,5,Manual,Petrol,1086,19,68,Third Party,Gurgaon,1.05
Ford,Ford Endeavour 3.2 Titanium AT 4X4,2017,60000,First Owner,SUV,7,Automatic,Diesel,3198,10,197,Comprehensive,Delhi,28.75
Maruti,Maruti Swift VXI BSIV,2018,22000,First Owner,Hatchback,5,Manual,Petrol,1197,22,81,Comprehensive,Gurgaon,5.95
Tata,Tata Nano Twist XTA,2015,53000,First Owner,Hatchback,4,Automatic,Petrol,624,25,37,Comprehensive,Delhi,1.99
Tata,Tata Xenon XT EX 4X2,2014,20000,First Owner,Tata,5,Manual,Diesel,2956,13,138,Comprehensive,Delhi,5.99
Maruti,Maruti Swift VXI AMT BSVI,2021,17000,First Owner,Hatchback,5,Automatic,Petrol,1197,22,88,Comprehensive,Delhi,7.5
Honda,Honda City ZX CVT,2021,20000,First Owner,Sedan,5,Automatic,Petrol,1498,18,119,Third Party insurance,Bangalore,14.5
Toyota,Toyota Innova 2.5 GX (Diesel) 7 Seater BS IV,2012,120000,Second Owner,MUV,7,Manual,Diesel,2494,12,100,Third Party insurance,Bangalore,11.25
Hyundai,Hyundai Venue SX Opt Diesel,2020,65812,Second Owner,SUV,5,Manual,Diesel,1493,23,98,Comprehensive,Bangalore,10.37
Maruti,Maruti Swift ZXI,2018,29767,First Owner,Hatchback,5,Manual,Petrol,1197,22,88,Comprehensive,Bangalore,6.95
Maruti,Maruti Swift ZXI,2017,52382,First Owner,Hatchback,5,Manual,Petrol,1197,22,88,Comprehensive,Bangalore,6.63
Hyundai,Hyundai i20 Asta 1.2,2014,66491,Second Owner,Hatchback,5,Manual,Petrol,1197,18,82,Third Party,Bangalore,4.82
Volkswagen,Volkswagen Polo 1.0 TSI Highline Plus,2021,30155,Second Owner,Hatchback,5,Manual,Petrol,999,18,108,Third Party,Bangalore,9.35
Maruti,Maruti Ciaz Zeta BSIV,2019,45621,First Owner,Sedan,5,Manual,Petrol,1462,21,103,Third Party insurance,Bangalore,8.09
Maruti,Maruti Swift ZDI,2013,69827,Second Owner,Hatchback,5,Manual,Diesel,1248,28,74,Comprehensive,Bangalore,5.45
Tata,Tata Tiago XZ Plus CNG BSVI,2022,42565,First Owner,Hatchback,5,Manual,CNG,1199,26,72,Third Party,Mumbai,7.82
Toyota,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2018,60000,First Owner,MUV,8,Automatic,Diesel,2755,11,171,Third Party insurance,Mumbai,18.5
Mini,Mini Cooper 1.6 S,2013,30000,First Owner,Hatchback,5,Automatic,Petrol,1598,17,184,Third Party insurance,Mumbai,13.24
Maruti,Maruti Vitara Brezza VDi,2016,123776,Second Owner,SUV,5,Manual,Diesel,1248,24,88,Comprehensive,Mumbai,6.39
Hyundai,Hyundai Verna 1.6 SX VTVT,2012,40000,Second Owner,Sedan,5,Manual,Petrol,1591,17,121,Third Party insurance,Mumbai,3.5
Mercedes-Benz,Mercedes-Benz GLC 220d 4MATIC Style,2016,120000,First Owner,SUV,5,Automatic,Diesel,2143,17,170,Third Party insurance,Mumbai,25
Jeep,Jeep Compass 1.4 Limited Plus,2020,40000,First Owner,SUV,5,Automatic,Petrol,1368,14,160,Third Party insurance,Mumbai,17.5
Hyundai,Hyundai Verna CRDi 1.6 AT SX Option,2019,29000,First Owner,Sedan,5,Automatic,Diesel,1582,22,126,Third Party insurance,Mumbai,12
Mercedes-Benz,Mercedes-Benz GLC 220d 4MATIC,2019,43000,First Owner,SUV,5,Automatic,Diesel,1950,6,194,Third Party insurance,Mumbai,44
Hyundai,Hyundai i20 Sportz 1.2,2016,37722,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Delhi,5.15
Maruti,Maruti Swift Dzire Regal,2014,100000,First Owner,Sedan,5,Manual,Petrol,1197,19,85,Third Party insurance,Delhi,4.5
Maruti,Maruti Wagon R VXI BS IV,2014,55465,Second Owner,Hatchback,5,Manual,Petrol,998,20,67,Comprehensive,Delhi,2.83
Hyundai,Hyundai Santro Sportz AMT,2020,7000,First Owner,Hatchback,5,Automatic,Petrol,1086,20,68,Comprehensive,Delhi,5.8
Nissan,Nissan Terrano XL 85 PS,2014,68000,Second Owner,SUV,5,Manual,Diesel,1461,20,83,Third Party,Delhi,3.95
Maruti,Maruti Ciaz 1.4 Alpha,2018,21000,Second Owner,Sedan,5,Manual,Petrol,1373,20,91,Comprehensive,Delhi,7.9
Maruti,Maruti Ertiga VDI,2018,30000,First Owner,MUV,7,Manual,Diesel,1248,25,88,Comprehensive,Mumbai,8.75
Maruti,Maruti S-Presso VXI Plus 2019-2022,2022,14000,First Owner,Hatchback,5,Manual,Petrol,998,21,65,Comprehensive,Mumbai,4.75
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,99000,Second Owner,MUV,7,Automatic,Diesel,2755,11,171,Comprehensive,Mumbai,16.85
Audi,Audi A8 L 3.0 TDI quattro,2012,58000,Second Owner,Sedan,5,Automatic,Diesel,2967,11,246,Comprehensive,Mumbai,19.25
Mahindra,Mahindra XUV500 AT W10 FWD,2017,30000,First Owner,SUV,7,Automatic,Diesel,2179,16,140,Third Party insurance,Bangalore,17.5
Maruti,Maruti Celerio ZXI Plus AMT BSVI,2022,30000,First Owner,Hatchback,5,Automatic,Petrol,998,26,65,Third Party insurance,Gurgaon,6
Maruti,Maruti Swift ZXI Plus BSIV,2018,37000,First Owner,Hatchback,5,Manual,Petrol,1197,22,81,Comprehensive,Bangalore,7.9
Volkswagen,Volkswagen Polo 1.0 MPI Highline Plus,2019,63511,First Owner,Hatchback,5,Manual,Petrol,999,18,75,Third Party insurance,Bangalore,7.75
Skoda,Skoda Kushaq 1.0 TSI Style BSVI,2021,43000,First Owner,SUV,5,Manual,Petrol,999,19,113,Comprehensive,Bangalore,15.5
Honda,Honda WR-V i-VTEC S,2019,26626,First Owner,SUV,5,Manual,Petrol,1199,17,88,Third Party insurance,Bangalore,8.1
Hyundai,Hyundai Creta 1.6 CRDi AT SX Plus,2017,70674,First Owner,SUV,5,Automatic,Diesel,1582,17,126,Third Party insurance,Bangalore,13.99
Maruti,Maruti Ignis 1.2 Zeta BSIV,2017,44410,First Owner,Hatchback,5,Manual,Petrol,1197,20,81,Comprehensive,Bangalore,6.2
BMW,BMW 3 Series 320d Luxury Line Plus,2015,70000,Second Owner,Sedan,5,Automatic,Diesel,1995,22,190,Comprehensive,Delhi,14.5
Hyundai,Hyundai Creta 1.4 E Plus CRDi,2019,28000,First Owner,SUV,5,Manual,Diesel,1396,22,88,Third Party insurance,Delhi,10.45
Maruti,Maruti Baleno 1.2 Alpha,2019,15415,First Owner,Hatchback,5,Manual,Petrol,1197,21,83,Third Party insurance,Lucknow,6.33
Ford,Ford Fiesta Petrol Style,2012,70000,Fifth Owner,Sedan,5,Manual,Petrol,1499,17,95,Third Party insurance,Lucknow,2.2
Hyundai,Hyundai i10 Magna,2009,75000,First Owner,Hatchback,5,Manual,Petrol,1197,20,78,Third Party,Lucknow,1
Mahindra,Mahindra XUV500 AT W10 1.99 mHawk,2017,76000,First Owner,SUV,7,Automatic,Diesel,1997,16,140,Comprehensive,Gurgaon,10.7
Hyundai,Hyundai i20 Magna Plus BSIV,2019,59924,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Third Party insurance,Jaipur,5.83
Tata,Tata New Safari DICOR 2.2 EX 4x2 BS IV,2011,120000,First Owner,SUV,7,Manual,Diesel,2179,13,138,Third Party insurance,Jaipur,2.5
Hyundai,Hyundai Grand i10 Magna,2015,71501,First Owner,Hatchback,5,Manual,Petrol,1197,18,82,Without Insuarance,Jaipur,3.25
Hyundai,Hyundai Santro Xing GLS AT,2007,85000,First Owner,Hatchback,5,Automatic,Petrol,1086,17,96,Comprehensive,Jaipur,1.8
Maruti,Maruti Ertiga VXI Petrol,2020,83000,First Owner,MUV,7,Manual,Petrol,1462,19,103,Comprehensive,Jaipur,8.95
Renault,Renault Scala Diesel RxL,2013,88329,First Owner,Sedan,5,Manual,Diesel,1461,21,84,Comprehensive,Jaipur,4.25
Hyundai,Hyundai EON Era Plus,2017,10000,First Owner,Hatchback,5,Manual,Petrol,814,21,55,Third Party insurance,Kolkata,2.7
Hyundai,Hyundai i20 Magna 1.2,2015,55541,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Kolkata,3.82
Maruti,Maruti Alto 800 LXI Opt BSVI,2022,5476,First Owner,Hatchback,5,Manual,Petrol,796,22,47,Third Party,Kolkata,3.9
Ford,Ford Endeavour 3.2 Titanium AT 4X4,2019,40000,First Owner,SUV,7,Automatic,Diesel,3198,10,197,Third Party insurance,Kolkata,28
Honda,Honda City i-VTEC V,2019,21628,First Owner,Sedan,5,Manual,Petrol,1497,17,117,Comprehensive,Kolkata,7.44
Honda,Honda City i DTEC VX,2014,80000,First Owner,Sedan,5,Manual,Diesel,1498,25,98,Third Party insurance,Kolkata,5.5
Ford,Ford Aspire 1.2 Ti-VCT Trend,2017,100000,First Owner,Sedan,5,Manual,Petrol,1196,18,86,Third Party insurance,Kolkata,2.5
Ford,Ford Fiesta 1.6 ZXi Leather,2010,23000,First Owner,Sedan,5,Manual,Petrol,1596,15,93,Third Party insurance,Kolkata,1.98
Ford,Ford Endeavour 3.2 Titanium AT 4X4,2017,86000,First Owner,SUV,7,Automatic,Diesel,3198,10,197,Comprehensive,Ahmedabad,21.5
MG,MG Hector Sharp CVT,2021,30000,First Owner,SUV,5,Automatic,Petrol,1451,19,141,Third Party insurance,Ahmedabad,16.51
Volkswagen,Volkswagen Vento 1.5 TDI Highline,2016,81113,Second Owner,Sedan,5,Manual,Diesel,1498,20,103,Third Party,Ahmedabad,5.13
Renault,Renault Captur 1.5 Diesel Platine,2018,80000,Second Owner,SUV,5,Manual,Diesel,1461,20,108,Third Party insurance,Ahmedabad,7.35
Honda,Honda City ZX MT,2021,37544,First Owner,Sedan,5,Manual,Petrol,1498,18,119,Third Party,Ahmedabad,11.28
Hyundai,Hyundai i20 Asta Option 1.2,2015,41000,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Ahmedabad,5.9
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option AT,2017,33000,First Owner,Hatchback,5,Automatic,Petrol,1197,18,81,Comprehensive,Ahmedabad,5.75
Hyundai,Hyundai i10 Era 1.1,2010,56000,First Owner,Hatchback,5,Manual,Petrol,1086,19,68,Comprehensive,Ahmedabad,2.41
Maruti,Maruti Alto 800 LXI,2015,111283,Second Owner,Hatchback,5,Manual,Petrol,796,22,47,Comprehensive,Chennai,2.43
Chevrolet,Chevrolet Spark 1.0 LS,2010,48956,First Owner,Hatchback,5,Manual,Petrol,995,18,62,Comprehensive,Chennai,1.85
Mercedes-Benz,Mercedes-Benz AMG A 35 4MATIC BSVI,2022,300,First Owner,Sedan,5,Automatic,Petrol,1991,10,301,Comprehensive,Chennai,59
Maruti,Maruti Wagon R VXI BS IV,2014,35046,First Owner,Hatchback,5,Manual,Petrol,998,20,67,Comprehensive,Pune,3.85
Hyundai,Hyundai i10 Sportz AT,2012,75042,First Owner,Hatchback,5,Automatic,Petrol,1197,16,78,Third Party,Pune,2.81
Hyundai,Hyundai Verna 1.6 CRDi S,2015,86315,First Owner,Sedan,5,Manual,Diesel,1582,23,126,Third Party insurance,Pune,7.64
Honda,Honda WR-V i-VTEC VX,2018,108918,First Owner,SUV,5,Manual,Petrol,1199,17,88,Comprehensive,Pune,6.97
Honda,Honda Jazz 1.2 V i VTEC,2018,35010,First Owner,Hatchback,5,Manual,Petrol,1199,18,88,Third Party insurance,Pune,5.95
Tata,Tata Nexon 1.2 Revotron XZ Plus,2018,40000,Second Owner,SUV,5,Manual,Petrol,1198,17,108,Third Party insurance,Hyderabad,7.5
Renault,Renault KWID 1.0 RXT,2017,65192,First Owner,Hatchback,5,Manual,Petrol,999,23,67,Third Party insurance,Hyderabad,3.05
Maruti,Maruti Swift VXI BSVI,2022,28150,First Owner,Hatchback,5,Manual,Petrol,1197,22,88,Third Party insurance,Hyderabad,6.75
Mahindra,Mahindra e2o T2,2015,43064,First Owner,Hatchback,5,Automatic,Electric,0,120,25,Third Party insurance,Hyderabad,3.35
Skoda,Skoda Rapid 1.5 TDI Ambition BSIV,2018,67000,First Owner,Sedan,5,Manual,Diesel,1498,21,108,Third Party insurance,Hyderabad,9.5
Kia,Kia Sonet HTX Plus Diesel BSVI,2022,50000,First Owner,SUV,5,Manual,Diesel,1493,8,98,Third Party insurance,Gurgaon,12.25
Toyota,Toyota Etios Liva 1.2 V Dual Tone,2019,82334,First Owner,Hatchback,5,Manual,Petrol,1197,17,78,Third Party,Gurgaon,5.44
Hyundai,Hyundai i10 Magna 1.2,2008,109590,First Owner,Hatchback,5,Manual,Petrol,1197,20,78,Without Insuarance,Gurgaon,1.2
Toyota,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,54000,First Owner,MUV,8,Automatic,Diesel,2755,11,171,Comprehensive,Delhi,17.99
Maruti,Maruti Celerio VXI AT Optional,2016,66596,First Owner,Hatchback,5,Automatic,Petrol,998,23,67,Comprehensive,Bangalore,4.68
Hyundai,Hyundai i10 Era,2010,90000,Fourth Owner,Hatchback,5,Manual,Petrol,1086,19,68,Third Party insurance,Bangalore,2.1
Hyundai,Hyundai Accent GLX,2009,60000,First Owner,Sedan,5,Manual,Petrol,1495,13,95,Third Party insurance,Bangalore,2.6
Renault,Renault KWID RXT,2016,69775,First Owner,Hatchback,5,Manual,Petrol,799,25,53,Third Party insurance,Bangalore,3.14
Hyundai,Hyundai i20 Sportz 1.2,2014,55836,First Owner,Hatchback,5,Manual,Petrol,1197,18,82,Comprehensive,Bangalore,4.87
Hyundai,Hyundai Grand i10 AT Asta,2015,70864,First Owner,Hatchback,5,Automatic,Petrol,1197,18,82,Comprehensive,Bangalore,5.1
Toyota,Toyota Urban cruiser Premium,2022,12970,First Owner,SUV,5,Manual,Petrol,1462,17,103,Comprehensive,Mumbai,10.11
Honda,Honda City i VTEC V,2016,71665,First Owner,Sedan,5,Manual,Petrol,1497,17,117,Comprehensive,Mumbai,5.97
Skoda,Skoda Rapid 1.6 MPI Style BSIV,2019,52529,First Owner,Sedan,5,Manual,Petrol,1598,14,103,Zero Dep,Mumbai,7.99
Hyundai,Hyundai Verna 1.6 SX,2014,100000,First Owner,Sedan,5,Manual,Diesel,1582,22,126,Third Party insurance,Mumbai,4.5
Tata,Tata Tiago 1.2 Revotron XZ,2016,51297,Second Owner,Hatchback,5,Manual,Petrol,1199,23,84,Comprehensive,Delhi,3.74
Maruti,Maruti Ciaz ZXi Plus,2016,120000,First Owner,Sedan,5,Manual,Petrol,1373,20,91,Third Party insurance,Delhi,4
Honda,Honda Jazz 1.2 S i VTEC,2016,63777,First Owner,Hatchback,5,Manual,Petrol,1199,18,88,Zero Dep,Delhi,4.44
Hyundai,Hyundai i10 Sportz 1.1L,2015,90292,First Owner,Hatchback,5,Manual,Petrol,1086,19,68,Zero Dep,Delhi,3.11
Kia,Kia Seltos GTX Plus DCT,2020,60000,First Owner,SUV,5,Automatic,Petrol,1353,16,138,Comprehensive,Delhi,15.25
Mahindra,Mahindra TUV 300 T6 Plus,2015,94000,First Owner,SUV,7,Manual,Diesel,1493,18,100,Third Party,Delhi,4.25
Renault,Renault Triber RXZ BSVI,2020,80000,First Owner,MUV,7,Manual,Petrol,999,20,71,Third Party insurance,Delhi,7.2
Tata,Tata Tigor 1.2 Revotron XZ Option,2017,34000,First Owner,Sedan,5,Manual,Petrol,1199,20,84,Comprehensive,Mumbai,5.45
Audi,Audi A3 35 TFSI Premium Plus,2017,46800,First Owner,Sedan,5,Automatic,Petrol,1395,19,150,Comprehensive,Mumbai,21.5
Tata,Tata Tiago XE BSVI,2020,11601,First Owner,Hatchback,5,Manual,Petrol,1199,19,84,Comprehensive,Bangalore,5.6
Maruti,Maruti Swift 1.3 VXi,2009,69000,Second Owner,Hatchback,5,Manual,Petrol,1298,16,100,Comprehensive,Bangalore,3.25
Mahindra,Mahindra XUV500 W4,2016,50000,First Owner,SUV,7,Manual,Diesel,2179,16,140,Third Party insurance,Agra,9
Skoda,Skoda Rapid 1.5 TDI AT Style BSIV,2017,120000,Second Owner,Sedan,5,Automatic,Diesel,1498,21,108,Third Party insurance,Lucknow,6
Honda,Honda Amaze EX i-Vtech,2013,110000,Second Owner,Sedan,5,Manual,Petrol,1198,18,86,Third Party insurance,Lucknow,2.5
Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline AT,2018,117881,First Owner,Sedan,5,Automatic,Diesel,1498,22,108,Third Party,Lucknow,4.44
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option,2017,41866,Second Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Lucknow,3.64
Hyundai,Hyundai i10 Magna 1.2,2010,85384,Second Owner,Hatchback,5,Manual,Petrol,1197,20,78,Third Party,Lucknow,1.5
Maruti,Maruti Swift Dzire VXI,2013,65713,Second Owner,Sedan,5,Manual,Petrol,1197,19,85,Without Insuarance,Chandigarh,5
Maruti,Maruti Baleno 1.2 Zeta,2019,42641,First Owner,Hatchback,5,Manual,Petrol,1197,21,83,Comprehensive,Jaipur,7.07
Honda,Honda WR-V i-DTEC VX,2019,80000,First Owner,SUV,5,Manual,Diesel,1498,25,98,Third Party insurance,Jaipur,9
Renault,Renault Triber RXZ BSVI,2022,10000,First Owner,MUV,7,Manual,Petrol,999,20,71,Third Party insurance,Jaipur,8.7
Maruti,Maruti Swift AMT VXI,2021,33055,Second Owner,Hatchback,5,Automatic,Petrol,1197,21,81,Without Insuarance,Jaipur,5.08
Maruti,Maruti Wagon R VXI BSIII,2011,77186,Fourth Owner,Hatchback,5,Manual,Petrol,998,18,67,Without Insuarance,Jaipur,1.5
Hyundai,Hyundai EON Era Plus,2017,20000,First Owner,Hatchback,5,Manual,Petrol,814,21,55,Third Party insurance,Kolkata,1.6
Maruti,Maruti Wagon R VXI BS IV,2015,29230,First Owner,Hatchback,5,Manual,Petrol,998,20,67,Comprehensive,Kolkata,3.28
Kia,Kia Seltos HTK Plus Diesel iMT,2023,8700,First Owner,SUV,5,Automatic,Diesel,1497,13,113,Comprehensive,Kolkata,14
Hyundai,Hyundai i20 1.2 Magna,2010,40000,First Owner,Hatchback,5,Manual,Petrol,1197,18,78,Comprehensive,Kolkata,2
Toyota,Toyota Innova Crysta 2.4 GX MT BSIV,2017,54000,First Owner,MUV,7,Manual,Diesel,2393,13,147,Third Party insurance,Kolkata,14
Volkswagen,Volkswagen Ameo 1.2 MPI Highline,2016,105297,First Owner,Sedan,5,Manual,Petrol,1198,17,73,Comprehensive,Ahmedabad,4.12
Chevrolet,Chevrolet Aveo 1.4 LS,2007,60000,Fourth Owner,Sedan,5,Manual,Petrol,1399,14,92,Third Party insurance,Ahmedabad,1
Renault,Renault Kiger RXZ,2021,15987,First Owner,SUV,5,Manual,Petrol,999,19,71,Zero Dep,Ahmedabad,7.19
Maruti,Maruti Celerio ZXI Optional AMT BSIV,2018,66414,Second Owner,Hatchback,5,Automatic,Petrol,998,23,67,Comprehensive,Chennai,4.74
Honda,Honda Amaze V CVT Diesel BSIV,2018,54408,First Owner,Sedan,5,Automatic,Diesel,1498,23,78,Third Party insurance,Chennai,7.85
BMW,BMW X3 xDrive30d,2012,100000,First Owner,SUV,5,Automatic,Diesel,2993,16,258,Comprehensive,Chennai,12.5
Maruti,Maruti Celerio VXI,2015,85223,First Owner,Hatchback,5,Manual,Petrol,998,23,67,Third Party insurance,Chennai,3.65
Hyundai,Hyundai i10 Sportz,2011,70023,Second Owner,Hatchback,5,Manual,Petrol,1197,20,78,Comprehensive,Pune,2.35
Honda,Honda City i DTEC VX,2015,120000,First Owner,Sedan,5,Manual,Diesel,1498,25,98,Third Party insurance,Pune,6.75
Hyundai,Hyundai i20 Sportz 1.2,2014,41179,First Owner,Hatchback,5,Manual,Petrol,1197,18,82,Comprehensive,Pune,4.83
Honda,Honda Civic 1.8 V MT,2009,90000,First Owner,Sedan,5,Manual,Petrol,1799,13,130,Third Party insurance,Pune,2.15
BMW,BMW X1 sDrive20d,2014,86000,First Owner,SUV,5,Automatic,Diesel,1995,17,184,Third Party insurance,Pune,12
Maruti,Maruti Swift VXI Deca,2016,25000,First Owner,Hatchback,5,Manual,Petrol,1197,20,81,Comprehensive,Pune,5.5
Tata,Tata Nano Twist XT,2014,36000,First Owner,Hatchback,4,Manual,Petrol,624,25,37,Comprehensive,Pune,1.45
Maruti,Maruti Zen Estilo LXI Green (CNG),2013,52000,First Owner,Hatchback,5,Manual,CNG,998,26,67,Comprehensive,Pune,2.4
