car_company,car_model,registered_yr,Kms_driven,owner_type,body_type,seats,transmission_type,fuel_type,engine_capacity_in_cc,mileage_in_kmpl,max_power_in_bhp,insurance,city,resale_price_in_Lakh_Rupees
Hyundai,Hyundai i20 1.2 Asta Dual Tone,2017,39156,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Third Party insurance,Hyderabad,6.8
Land,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,2018,47000,First Owner,SUV,5,Automatic,Diesel,1999,15,177,Third Party insurance,Hyderabad,45
Hyundai,Hyundai i20 Magna Plus BSIV,2020,38300,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Hyderabad,7.25
Maruti,Maruti Ertiga VXI,2014,52361,Second Owner,MUV,7,Manual,Petrol,1462,20,101,Comprehensive,Gurgaon,6.25
Hyundai,Hyundai i20 1.2 Magna Executive,2018,53083,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Zero Dep,Gurgaon,5.6
Toyota,Toyota Innova Crysta 2.4 G 7 STR,2021,22591,First Owner,MUV,7,Manual,Diesel,2393,12,148,Without Insuarance,Gurgaon,16.99
Maruti,Maruti SX4 S Cross Zeta DDiS 200 SH,2018,73126,First Owner,SUV,5,Manual,Diesel,1248,25,88,Comprehensive,Gurgaon,6.41
Maruti,Maruti Alto LXi,2011,107439,Second Owner,Hatchback,5,Manual,Petrol,796,19,46,Comprehensive,Gurgaon,1.52
Maruti,Maruti Swift Dzire VDI,2015,82967,First Owner,Sedan,5,Manual,Diesel,1248,23,74,Third Party,Gurgaon,3.5
Maruti,Maruti Celerio VXI AT,2015,36400,First Owner,Hatchback,5,Automatic,Petrol,998,23,67,Comprehensive,Gurgaon,4.5
Toyota,Toyota Corolla Altis 1.8 G CVT,2017,60000,First Owner,Sedan,5,Automatic,Petrol,1798,14,138,Third Party insurance,Delhi,11.9
Mahindra,Mahindra XUV300 W8 Diesel BSIV,2021,23366,First Owner,SUV,5,Manual,Diesel,1497,20,115,Third Party insurance,Delhi,12.25
Mercedes-Benz,Mercedes-Benz C-Class C 220d Avantgarde Edition C,2018,47000,Second Owner,Sedan,5,Automatic,Diesel,2143,19,167,Comprehensive,Bangalore,32.9
Maruti,Maruti Swift VDI BSIV,2014,90000,Second Owner,Hatchback,5,Manual,Diesel,1248,25,74,Third Party insurance,Bangalore,5.1
Renault,Renault KWID Climber 1.0 MT Opt BSIV,2020,55609,First Owner,Hatchback,5,Manual,Petrol,999,23,67,Third Party insurance,Bangalore,4.58
Skoda,Skoda Superb 2.5 V6 TDI,2011,80000,Third Owner,Sedan,5,Automatic,Diesel,2496,11,86,Third Party insurance,Bangalore,5
Renault,Renault Triber RXZ BSIV,2020,20796,First Owner,MUV,7,Manual,Petrol,999,20,72,Comprehensive,Bangalore,7.25
Maruti,Maruti Swift Dzire AMT ZXI Plus,2017,93533,First Owner,Sedan,5,Automatic,Petrol,1197,21,81,Comprehensive,Bangalore,5.9
Maruti,Maruti Swift VXI,2015,77147,Third Owner,Hatchback,5,Manual,Petrol,1197,22,88,Third Party,Bangalore,4.63
Hyundai,Hyundai Creta 1.6 VTVT AT SX Plus,2016,65597,First Owner,SUV,5,Automatic,Petrol,1591,13,121,Comprehensive,Mumbai,9.87
Maruti,Maruti Ciaz VXi,2015,77739,Second Owner,Sedan,5,Manual,Petrol,1373,20,91,Comprehensive,Mumbai,5.2
Tata,Tata Nexon 1.2 Revotron XM,2018,25178,Second Owner,SUV,5,Manual,Petrol,1198,17,108,Comprehensive,Mumbai,6.44
Porsche,Porsche Cayenne S Hybrid,2012,81000,Second Owner,SUV,5,Automatic,Petrol,2995,13,380,Comprehensive,Mumbai,28.5
Honda,Honda Civic 1.8 V AT,2010,80000,Third Owner,Sedan,5,Automatic,Petrol,1799,13,130,Third Party insurance,Mumbai,2.5
Renault,Renault KWID Climber 1.0 AMT BSIV,2019,19361,Second Owner,Hatchback,5,Automatic,Petrol,999,24,67,Third Party,Mumbai,4.45
Jeep,Jeep Compass 1.4 Limited Plus BSIV,2018,41826,First Owner,SUV,5,Automatic,Petrol,1368,16,160,Comprehensive,Mumbai,16.41
Hyundai,Hyundai Grand i10 Sportz,2016,61431,First Owner,Hatchback,5,Manual,Petrol,1197,18,82,Comprehensive,Mumbai,4.52
Kia,Kia Seltos HTX IVT G,2021,16900,First Owner,SUV,5,Automatic,Petrol,1497,16,113,Third Party insurance,Mumbai,16.2
Maruti,Maruti Alto K10 LXI,2015,64224,First Owner,Hatchback,5,Manual,Petrol,998,24,65,Third Party insurance,Delhi,2.55
Maruti,Maruti Ciaz ZXi Plus,2016,29027,First Owner,Sedan,5,Manual,Petrol,1373,20,91,Zero Dep,Delhi,6.82
Hyundai,Hyundai Grand i10 1.2 CRDi Asta,2018,40000,First Owner,Hatchback,5,Manual,Diesel,1186,24,73,Third Party insurance,Delhi,4.5
Honda,Honda Amaze S i-Vtech,2015,80000,Second Owner,Sedan,5,Manual,Petrol,1198,18,86,Third Party insurance,Delhi,3.49
Tata,Tata Nexon 1.2 Revotron XM,2019,56232,First Owner,SUV,5,Manual,Petrol,1198,17,108,Zero Dep,Delhi,6.66
Maruti,Maruti Wagon R ZXI 1.2,2019,31464,First Owner,Hatchback,5,Manual,Petrol,1197,20,81,Comprehensive,Delhi,5.41
Maruti,Maruti Wagon R VXI BS IV,2009,90000,Second Owner,Hatchback,5,Manual,Petrol,998,18,67,Third Party insurance,Delhi,1.7
Hyundai,Hyundai Grand i10 Nios AMT Sportz,2022,10582,First Owner,Hatchback,5,Automatic,Petrol,1197,20,81,Comprehensive,Gurgaon,7.65
Toyota,Toyota Etios Liva V,2011,92000,First Owner,Hatchback,5,Manual,Petrol,1197,18,109,Third Party,Delhi,2.25
Honda,Honda Amaze EX i-Vtech,2016,52000,First Owner,Sedan,5,Manual,Petrol,1198,18,86,Comprehensive,Delhi,3.95
Honda,Honda City i-VTEC VX,2018,43000,First Owner,Sedan,5,Manual,Petrol,1497,17,117,Comprehensive,Delhi,8.99
Hyundai,Hyundai EON Era Plus,2013,60000,Second Owner,Hatchback,5,Manual,Petrol,814,21,55,Third Party insurance,Delhi,1.99
Renault,Renault Duster Adventure Edition,2015,110000,First Owner,SUV,5,Manual,Diesel,1461,19,108,Third Party insurance,Delhi,4.1
Tata,Tata New Safari DICOR 2.2 EX 4x2 BS IV,2014,90000,First Owner,SUV,7,Manual,Diesel,2179,13,138,Third Party insurance,Delhi,3.65
Honda,Honda City i VTEC CVT VX,2014,80000,Second Owner,Sedan,5,Automatic,Petrol,1497,18,117,Third Party insurance,Delhi,5.75
Renault,Renault Duster Petrol RxL,2017,36937,First Owner,SUV,5,Manual,Petrol,1598,13,102,Comprehensive,Mumbai,5.49
Honda,Honda Amaze VX CVT Petrol BSIV,2019,19000,First Owner,Sedan,5,Automatic,Petrol,1199,19,88,Zero Dep,Mumbai,7.95
Hyundai,Hyundai Verna 1.6 VTVT AT S,2016,42000,First Owner,Sedan,5,Automatic,Petrol,1591,17,121,Comprehensive,Mumbai,6.45
Ford,Ford Ecosport 1.5 DV5 MT Titanium,2014,70000,First Owner,SUV,5,Manual,Diesel,1498,22,89,Comprehensive,Mumbai,5.15
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2019,119000,First Owner,MUV,7,Automatic,Diesel,2755,11,171,Comprehensive,Mumbai,20.85
Mercedes-Benz,Mercedes-Benz CLA Urban Sport 200,2018,20000,First Owner,Sedan,5,Automatic,Petrol,1991,15,184,Comprehensive,Mumbai,26.25
Maruti,Maruti Wagon R LXI CNG,2018,50000,Second Owner,Hatchback,5,Manual,CNG,998,26,58,Third Party insurance,Mumbai,3.4
Honda,Honda Amaze S Petrol,2013,84146,First Owner,Sedan,5,Manual,Petrol,1199,18,88,Comprehensive,Bangalore,3.3
Maruti,Maruti Swift Dzire ZXI 1.2 BS IV,2019,54000,First Owner,Sedan,5,Manual,Petrol,1197,22,81,Comprehensive,Bangalore,7.75
Maruti,Maruti Vitara Brezza ZDi Plus AMT,2018,98000,First Owner,SUV,5,Automatic,Diesel,1248,24,88,Third Party insurance,Hyderabad,9.9
BMW,BMW 3 Series 320d Luxury Line,2013,31000,Third Owner,Sedan,5,Automatic,Diesel,1995,20,187,Comprehensive,Bangalore,17.5
Toyota,Toyota Innova Crysta 2.4 ZX 7 STR AT,2020,40251,First Owner,MUV,7,Automatic,Diesel,2393,12,148,Comprehensive,Bangalore,27.99
Maruti,Maruti Swift VDI,2013,90230,Second Owner,Hatchback,5,Manual,Diesel,1248,28,74,Comprehensive,Bangalore,4.75
Maruti,Maruti Baleno 1.3 Alpha,2018,43486,First Owner,Hatchback,5,Manual,Diesel,1248,27,74,Third Party insurance,Bangalore,8.65
Mahindra,Mahindra XUV500 W6 1.99 mHawk,2016,118000,Second Owner,SUV,7,Manual,Diesel,1997,16,140,Comprehensive,Delhi,6.85
Kia,Kia Seltos GTX Option,2021,38000,First Owner,SUV,5,Manual,Petrol,1353,16,138,Comprehensive,Delhi,16
Volvo,Volvo XC 90 D5 Inscription,2017,70000,First Owner,SUV,7,Automatic,Diesel,1969,17,235,Third Party insurance,Delhi,48.9
Maruti,Maruti Wagon R VXI BS IV,2016,25619,First Owner,Hatchback,5,Manual,Petrol,998,20,67,Third Party,Lucknow,3.55
Maruti,Maruti Swift VXI,2020,42847,First Owner,Hatchback,5,Manual,Petrol,1197,21,81,Without Insuarance,Lucknow,6.5
Renault,Renault KWID RXT Optional,2019,40000,First Owner,Hatchback,5,Manual,Petrol,799,25,53,Third Party insurance,Jaipur,3
Mahindra,Mahindra Thar LX 4-Str Hard Top BSVI,2021,25303,First Owner,SUV,4,Manual,Petrol,1997,15,150,Without Insuarance,Jaipur,14.56
Volkswagen,Volkswagen Polo Diesel Highline 1.2L,2013,71000,First Owner,Hatchback,5,Manual,Diesel,1199,22,73,Comprehensive,Jaipur,3.45
Nissan,Nissan Micra XV CVT,2018,12723,First Owner,Hatchback,5,Automatic,Petrol,1198,19,75,Comprehensive,Kolkata,4.98
Hyundai,Hyundai Elantra 2.0 SX Option AT,2018,30000,First Owner,Sedan,5,Automatic,Petrol,1999,14,149,Third Party insurance,Kolkata,14
Tata,Tata Tigor XZA Plus AMT BSVI,2022,6781,First Owner,Sedan,5,Automatic,Petrol,1199,19,84,Comprehensive,Kolkata,6.94
Jeep,Jeep Compass 2.0 Longitude BSIV,2018,42000,First Owner,SUV,5,Manual,Diesel,1956,17,170,Comprehensive,Kolkata,9.99
Hyundai,Hyundai Verna VTVT 1.6 SX Option,2019,34000,First Owner,Sedan,5,Manual,Petrol,1591,17,121,Comprehensive,Kolkata,8.5
Hyundai,Hyundai Grand i10 1.2 Kappa Magna BSIV,2020,31304,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Third Party,Ahmedabad,5.24
Maruti,Maruti Ciaz 1.3 Alpha,2018,43621,Second Owner,Sedan,5,Manual,Diesel,1248,28,88,Third Party,Ahmedabad,6.95
Hyundai,Hyundai Creta 1.4 CRDi S,2017,145032,First Owner,SUV,5,Manual,Diesel,1396,21,88,Third Party,Ahmedabad,8
Mercedes-Benz,Mercedes-Benz GLE 250d,2017,70000,First Owner,SUV,5,Automatic,Diesel,2143,17,201,Comprehensive,Ahmedabad,39.5
Hyundai,Hyundai i20 1.2 Asta Option,2018,45224,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Comprehensive,Chennai,6.66
Hyundai,Hyundai Grand i10 Nios AMT Sportz,2020,20000,Third Owner,Hatchback,5,Automatic,Petrol,1197,20,81,Third Party insurance,Chennai,5.6
Volkswagen,Volkswagen Ameo 1.0 MPI Trendline,2018,24385,First Owner,Sedan,5,Manual,Petrol,999,19,75,Comprehensive,Chennai,5.53
Honda,Honda Jazz 1.2 VX i VTEC,2017,60611,Third Owner,Hatchback,5,Manual,Petrol,1199,18,88,Third Party insurance,Chennai,5.2
Honda,Honda City 1.5 V MT Exclusive,2014,90530,First Owner,Sedan,5,Manual,Petrol,1497,17,93,Comprehensive,Chennai,5.7
Maruti,Maruti Wagon R VXI Optional,2018,59896,First Owner,Hatchback,5,Manual,Petrol,998,20,67,Third Party insurance,Pune,4.6
Maruti,Maruti Swift VXI,2011,82091,Third Owner,Hatchback,5,Manual,Petrol,1197,22,88,Third Party insurance,Pune,2.93
Maruti,Maruti Wagon R CNG LXI,2021,18457,First Owner,Hatchback,5,Manual,CNG,998,32,58,Zero Dep,Pune,6.18
Hyundai,Hyundai i10 Sportz 1.2,2010,77000,First Owner,Hatchback,5,Manual,Petrol,1197,20,78,Comprehensive,Pune,2.2
Renault,Renault KWID 1.0 RXT,2017,60000,First Owner,Hatchback,5,Manual,Petrol,999,23,67,Third Party,Pune,2.75
Maruti,Maruti Swift VXI,2016,64685,Second Owner,Hatchback,5,Manual,Petrol,1197,22,88,Third Party,Hyderabad,5.04
Tata,Tata Altroz XZ Diesel BSVI,2020,19244,First Owner,Hatchback,5,Manual,Diesel,1497,23,88,Third Party insurance,Hyderabad,7.4
Maruti,Maruti Wagon R VXI Optional,2016,66754,First Owner,Hatchback,5,Manual,Petrol,998,20,67,Comprehensive,Hyderabad,4.27
Maruti,Maruti Vitara Brezza ZXI Plus AT,2021,40205,First Owner,SUV,5,Automatic,Petrol,1462,18,103,Zero Dep,Hyderabad,10.38
MG,MG Hector Plus Sharp DCT,2020,10000,First Owner,SUV,6,Automatic,Petrol,1451,11,141,Third Party insurance,Hyderabad,17.5
Hyundai,Hyundai Verna 1.6 SX CRDI (O) AT,2014,96000,First Owner,Sedan,5,Automatic,Diesel,1582,22,126,Third Party insurance,Hyderabad,6.25
Maruti,Maruti Baleno Zeta,2019,43573,First Owner,Hatchback,5,Manual,Petrol,1197,21,81,Third Party,Gurgaon,5.74
Toyota,Toyota Urban cruiser High AT,2021,58547,First Owner,SUV,5,Automatic,Petrol,1462,18,103,Zero Dep,Gurgaon,9.18
Volkswagen,Volkswagen Polo Petrol Trendline 1.2L,2011,85000,First Owner,Hatchback,5,Manual,Petrol,1198,16,73,Comprehensive,Gurgaon,2.35
Maruti,Maruti Baleno Zeta CVT,2021,29800,First Owner,Hatchback,5,Automatic,Petrol,1197,19,81,Comprehensive,Gurgaon,7.95
Maruti,Maruti Alto 800 LXI Optional,2019,41872,First Owner,Hatchback,5,Manual,Petrol,796,24,47,Third Party,Bangalore,3.75
Hyundai,Hyundai i20 1.2 Asta,2010,92180,First Owner,Hatchback,5,Manual,Petrol,1197,17,78,Third Party,Bangalore,3.45
Tata,Tata Tigor XZ,2022,7767,First Owner,Sedan,5,Manual,Petrol,1199,20,83,Comprehensive,Bangalore,8.95
Hyundai,Hyundai Verna 1.6 SX CRDi (O),2011,120000,Third Owner,Sedan,5,Manual,Diesel,1582,22,126,Third Party insurance,Bangalore,4
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,2019,33051,First Owner,MUV,7,Automatic,Diesel,2755,11,171,Third Party insurance,Bangalore,27.45
Maruti,Maruti Wagon R VXI BS IV,2011,69138,Second Owner,Hatchback,5,Manual,Petrol,998,18,67,Comprehensive,Bangalore,2.9
Hyundai,Hyundai EON D Lite Plus,2012,56979,Second Owner,Hatchback,5,Manual,Petrol,814,21,55,Third Party,Mumbai,1.75
Honda,Honda City i VTEC VX,2017,18069,Second Owner,Sedan,5,Manual,Petrol,1497,17,117,Comprehensive,Mumbai,7.88
Maruti,Maruti Swift 1.2 Ldi BSII,2009,120000,First Owner,Hatchback,5,Manual,Diesel,1248,17,100,Third Party insurance,Mumbai,1.95
Hyundai,Hyundai Elantra SX,2014,22900,First Owner,Sedan,5,Manual,Petrol,1797,16,147,Comprehensive,Mumbai,6.25
Volkswagen,Volkswagen Vento 1.6 Highline BSIV,2013,59841,Second Owner,Sedan,5,Manual,Petrol,1598,16,103,Comprehensive,Mumbai,3.5
Maruti,Maruti Ertiga SHVS VDI,2016,110000,First Owner,MUV,7,Manual,Diesel,1248,24,88,Third Party insurance,Delhi,7.5
Renault,Renault KWID 1.0 RXL,2017,48162,First Owner,Hatchback,5,Manual,Petrol,999,23,67,Third Party,Delhi,2.97
Honda,Honda Amaze S i-Vtech,2014,38624,First Owner,Sedan,5,Manual,Petrol,1198,18,86,Comprehensive,Delhi,3.69
Maruti,Maruti Celerio VXI CNG,2018,79923,First Owner,Hatchback,5,Manual,CNG,998,35,55,Comprehensive,Delhi,4.2
Honda,Honda City i VTEC VX,2014,65000,First Owner,Sedan,5,Manual,Petrol,1497,17,117,Third Party,Delhi,5
Chevrolet,Chevrolet Cruze LTZ AT,2015,60000,First Owner,Sedan,5,Automatic,Diesel,1998,14,163,Third Party insurance,Delhi,5.35
Honda,Honda City CNG,2013,80000,First Owner,Sedan,5,Manual,CNG,1497,16,116,Third Party insurance,Delhi,4.5
Honda,Honda City 1.5 S AT,2012,100000,First Owner,Sedan,5,Automatic,Petrol,1497,16,116,Third Party insurance,Delhi,3.95
Maruti,Maruti Ritz LXi,2016,70000,Second Owner,Hatchback,5,Manual,Petrol,1197,18,85,Third Party insurance,Delhi,3.2
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz Option AT,2017,33000,First Owner,Hatchback,5,Automatic,Petrol,1197,18,81,Comprehensive,Mumbai,5.65
Hyundai,Hyundai Grand i10 Asta Option,2014,48000,First Owner,Hatchback,5,Manual,Petrol,1197,18,82,Comprehensive,Mumbai,3.85
Volkswagen,Volkswagen Polo 1.2 MPI Highline,2014,57885,First Owner,Hatchback,5,Manual,Petrol,1199,16,74,Comprehensive,Mumbai,4.55
Maruti,Maruti Wagon R ZXI AMT 1.2,2019,30000,First Owner,Hatchback,5,Automatic,Petrol,1197,20,81,Comprehensive,Bangalore,6.25
Hyundai,Hyundai Creta 1.6 SX Automatic Diesel,2017,98000,First Owner,SUV,5,Automatic,Diesel,1582,17,126,Comprehensive,Bangalore,12.75
Chevrolet,Chevrolet Beat Diesel LS,2012,63000,First Owner,Hatchback,5,Manual,Diesel,936,25,57,Third Party,Bangalore,2.75
Hyundai,Hyundai i10 Magna 1.2,2009,50000,First Owner,Hatchback,5,Manual,Petrol,1197,20,78,Third Party insurance,Agra,1.3
Maruti,Maruti Celerio ZXI,2022,3592,First Owner,Hatchback,5,Manual,Petrol,998,25,65,Comprehensive,Lucknow,5.47
Mercedes-Benz,Mercedes-Benz S-Class S 500 L,2015,55000,First Owner,Sedan,5,Automatic,Petrol,4663,7,453,Comprehensive,Delhi,51.5
Maruti,Maruti Swift AMT VXI,2021,41795,First Owner,Hatchback,5,Automatic,Petrol,1197,21,81,Zero Dep,Chandigarh,6.7
Hyundai,Hyundai Santro Xing ECO,2008,122704,Third Owner,Hatchback,5,Manual,LPG,1086,20,96,Without Insuarance,Chandigarh,8.71
Honda,Honda Amaze S i-Vtech,2015,33046,First Owner,Sedan,5,Manual,Petrol,1198,18,86,Comprehensive,Bangalore,4.55
BMW,BMW 3 Series 330i M Sport,2021,7000,First Owner,Sedan,5,Automatic,Petrol,1998,16,254,Third Party insurance,Gurgaon,48.5
Maruti,Maruti Swift Dzire VXI,2012,94554,First Owner,Sedan,5,Manual,Petrol,1197,22,88,Comprehensive,Jaipur,3.99
Mahindra,Mahindra XUV500 W8 2WD,2012,110000,Second Owner,SUV,7,Manual,Diesel,2179,15,140,Third Party insurance,Jaipur,4
Datsun,Datsun GO T BSIV,2015,80000,First Owner,Hatchback,5,Manual,Petrol,1198,20,67,Third Party insurance,Jaipur,1.6
Maruti,Maruti Ertiga VXI,2016,48539,Second Owner,MUV,7,Manual,Petrol,1462,20,101,Comprehensive,Kolkata,5.93
Datsun,Datsun RediGO 1.0 T Option,2020,10000,First Owner,Hatchback,5,Manual,Petrol,999,21,67,Third Party insurance,Kolkata,3.54
Tata,Tata Indigo LS (TDI) BS III,2009,70000,First Owner,Sedan,5,Manual,Diesel,1396,19,69,Third Party insurance,Kolkata,1.21
Hyundai,Hyundai Grand i10 Sportz,2015,90000,First Owner,Hatchback,5,Manual,Petrol,1197,18,82,Third Party insurance,Kolkata,4
Maruti,Maruti Ertiga ZDI Plus,2018,62000,First Owner,MUV,7,Manual,Diesel,1248,25,88,Third Party insurance,Kolkata,8.5
Maruti,Maruti Ciaz 1.4 AT Alpha,2017,79000,First Owner,Sedan,5,Automatic,Petrol,1373,19,91,Comprehensive,Kolkata,6.5
Audi,Audi Q3 35 TDI Quattro Premium,2016,49253,Second Owner,SUV,5,Automatic,Diesel,1968,15,174,Comprehensive,Kolkata,17
Maruti,Maruti Swift Dzire VXI,2016,48563,Second Owner,Sedan,5,Manual,Petrol,1197,22,88,Comprehensive,Ahmedabad,5.27
Hyundai,Hyundai Grand i10 1.2 Kappa Sportz BSIV,2019,25504,First Owner,Hatchback,5,Manual,Petrol,1197,18,81,Without Insuarance,Ahmedabad,5.5
Hyundai,Hyundai i20 Asta Turbo DCT,2022,29000,First Owner,Hatchback,5,Automatic,Petrol,998,20,118,Zero Dep,Ahmedabad,9.25
Hyundai,Hyundai i10 Magna,2012,68572,First Owner,Hatchback,5,Manual,Petrol,1197,20,78,Comprehensive,Chennai,3.19
Renault,Renault KWID RXT,2016,48113,First Owner,Hatchback,5,Manual,Petrol,799,25,53,Third Party,Chennai,3.56
Mahindra,Mahindra XUV500 W9 AT BSIV,2018,158379,First Owner,SUV,7,Automatic,Diesel,2179,15,152,Third Party,Chennai,11.88
Mahindra,Mahindra Scorpio S5,2019,1200000,First Owner,SUV,7,Manual,Diesel,2179,18,136,Comprehensive,Chennai,11.5
